UTC Date / Time;Date / Time;Action;Service;Protocol;Direction;Risk;Policy;Policy Type;Other Policies;Category;In;Out;Src. MAC;Src. Ip;Src. Port;Src. Name;Src. Network;Src. Region;Src. Zone;Dst. Domain;Dst. MAC;Dst. Ip;Dst. Port;Dst. Name;Dst. Network;Dst. Region;Dst. Zone;Signature;Signature ID;Bytes;Bytes Rec.;Bytes Sent;Packets;Packets Rec.;Packets Sent;Session Id;Flow Count
2025-11-18T23:39:19.413Z;Nov 19, 2025 12:39:19.413 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;37.21.164.148;1818;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:39:24.413Z;Nov 19, 2025 12:39:24.413 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;5.227.49.79;2969;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:40:44.002Z;Nov 19, 2025 12:40:44.002 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;48557;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:40:54.014Z;Nov 19, 2025 12:40:54.014 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;36905;UNAS 25:f4;V100;;Internal;;;88.201.229.181;51413;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:42:26.442Z;Nov 19, 2025 12:42:26.442 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;132;null;null;1;null;null;;8
2025-11-18T23:42:29.447Z;Nov 19, 2025 12:42:29.447 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.24.3.205;59608;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:42:47.154Z;Nov 19, 2025 12:42:47.154 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;35355;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:43:59.46Z;Nov 19, 2025 12:43:59.460 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;87.103.255.40;38892;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:44:01.242Z;Nov 19, 2025 12:44:01.242 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;37949;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:44:04.46Z;Nov 19, 2025 12:44:04.460 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;5.140.74.146;1544;;;RU;External;;;132;null;null;1;null;null;;1
